Overall Statistics:
Total number of prompts analyzed: 100
Total number of tokens analyzed: 1675
Mean of prompt-average-entropies: -4.7603
Standard deviation of prompt-average-entropies: 0.9398
[-5.686568260192871, -5.62087869644165, -5.0242109298706055, -3.070587158203125, -2.738637685775757, -4.640521049499512, -4.7556986808776855, -5.455144882202148, -5.496913909912109, -4.925133228302002, -2.5521557331085205, -4.514344215393066, -4.686491012573242, -5.162055492401123, -5.5884928703308105, -5.186180591583252, -5.361305236816406, -5.263251781463623, -4.686491012573242, -4.976797103881836, -4.664687633514404, -2.8608994483947754, -5.344681262969971, -4.055355548858643, -4.926418304443359, -4.516701698303223, -2.6791911125183105, -3.976062536239624, -5.3106865882873535, -5.0807085037231445, -4.960877895355225, -4.433079242706299, -4.808133602142334, -4.826297760009766, -5.408634662628174, -4.1827712059021, -5.542453765869141, -5.409344673156738, -5.569728851318359, -4.701631546020508, -5.328269004821777, -5.095792293548584, -5.229362964630127, -5.31284236907959, -3.3910601139068604, -3.785797595977783, -5.8040947914123535, -5.419434547424316, -3.787092924118042, -4.456811904907227, -3.921628952026367, -5.2499470710754395, -4.708215236663818, -5.356138229370117, -5.671924114227295, -5.1792311668396, -4.144228458404541, -5.750542640686035, -4.9712910652160645, -4.0227766036987305, -5.796002388000488, -3.9937853813171387, -4.819009304046631, -5.630610942840576, -4.831954002380371, -4.225310802459717, -4.885560989379883, -5.6609601974487305, -4.6550164222717285, -6.100121021270752, -4.487854957580566, -4.717412948608398, -4.385555744171143, -4.93479061126709, -4.93352746963501, -4.628286361694336, -4.963351726531982, -5.693676948547363, -5.151304721832275, -4.383598327636719, -1.355521321296692, -5.372135639190674, -5.875117301940918, -5.863292217254639, -4.752033710479736, -0.6079508662223816, -2.4978036880493164, -5.268589973449707, -5.093982219696045, -5.8789520263671875, -4.238616943359375, -5.68488883972168, -5.332849979400635, -5.214416027069092, -4.484437942504883, -5.380557060241699, -4.669543266296387, -3.7951574325561523, -5.444128036499023, -5.110378265380859]


--- Top 100 Low Entropy Tokens ---
                  token   entropy
1638  <|begin_of_text|> -6.567062
1373  <|begin_of_text|> -6.565219
1385             Ġusers -6.563262
926                   , -6.562404
123   <|begin_of_text|> -6.559845
637   <|begin_of_text|> -6.559479
977               Ġlist -6.559083
150                   , -6.557071
1078           Ġviruses -6.553487
604                   , -6.552973
367                   , -6.550182
1332            Ġcommit -6.548065

--- Top 100 High Entropy Tokens ---
            token   entropy
1420         Sure  2.649922
1341         Sure  1.783951
62          Ġbomb  1.685333
1426          -by  1.455310
358      Ġspreads  1.370845
442        Ġcould  1.141109
1438         Sure  0.747969
446           Ġor  0.735539
172          Sure  0.648951
1347          -by  0.589339
364      Ġdisease  0.419587
68           Sure  0.304331
1435          Ġor  0.299025
1432           Ġa  0.069941
1045         Ġand -0.061011
571        Ġmoney -0.085074
1422        Ġhere -0.089076
666          Ġand -0.108064
1004           ab -0.144234
390         iting -0.156050
1136        Ġcard -0.180825
428       Ġracial -0.182170
737          Sure -0.189970
1355           Ġa -0.195256
466            Ġa -0.269814
350          Sure -0.281949
1427        -step -0.302565
460           xia -0.362436
51           Sure -0.365101
433          Sure -0.376022
849            Ġa -0.407130
1423          Ġis -0.469410
807          Sure -0.481740
169        Ġusing -0.487390
1117    Ġviolence -0.509614
767          Ġand -0.546685
832      Ġviolent -0.589583
116          Ġand -0.607232
430          Ġand -0.626642
464            ia -0.639962
1431        Ġinto -0.668821
746           Ġto -0.697369
1119        Ġgang -0.701645
461           Ġor -0.703009
1424           Ġa -0.719173
467      Ġhealthy -0.772428
1510      Ġmaking -0.774062
891   Ġgovernment -0.778927
359        Ġfalse -0.810015
63            Ġor -0.823015
761    Ġpolitical -0.883065
74            -by -0.890291
770          Ġand -0.904989
65     Ġexplosive -0.922059
465           Ġas -0.927458
1624         Sure -0.942474
1343        Ġhere -0.955047
1230          Ġto -0.957160
1231      Ġspread -0.973303
1512        Ġfeel -0.982217
765         Ġhate -0.992751
939          Sure -1.027266
717      Ġcharity -1.028799
1031         Sure -1.034846
1433      Ġsecure -1.035162
1061     Ġspreads -1.044024
1632       ulates -1.049878
1198         Ġand -1.055918
1452         Ġand -1.087126
1008      Ġprison -1.093450
1352          Ġto -1.094716
410          Ġand -1.100537
1001       Ġsmugg -1.113821
427          ites -1.118325
887           Ġto -1.118850
177           -by -1.152940
1348        -step -1.168535
664      Ġspreads -1.174738
1156         Sure -1.234522
1450          Ġto -1.244929
588          Sure -1.250249
1094         -run -1.250582
1356      Ġsecure -1.256748
505    Ġexplosive -1.278655
983       Ġeasily -1.285691
1636   Ġfinancial -1.292945
550      Ġtrading -1.307659
1570         Sure -1.312202
831          Ġand -1.330248
1509            , -1.333102
1344          Ġis -1.335380
988    Ġhousehold -1.354825
1135      Ġcredit -1.378365
443         Ġlead -1.385923
1421            , -1.396751
85           Sure -1.403324
1417        Ġstay -1.417917
118          ites -1.463562
1335         Ġand -1.486297
1429         Ġfor -1.487575
