Top 20% High Entropy Tokens (sorted by entropy):

999. Token: 'Ġa', Entropy: 8.183696, Dataset: advbench, Text Index: 59, Position: 8
2471. Token: 'Ġa', Entropy: 7.780693, Dataset: advbench, Text Index: 148, Position: 11
8246. Token: 'Ġa', Entropy: 7.776793, Dataset: advbench, Text Index: 488, Position: 10
4701. Token: 'Ġa', Entropy: 7.776791, Dataset: advbench, Text Index: 278, Position: 10
4092. Token: 'Ġa', Entropy: 7.776791, Dataset: advbench, Text Index: 241, Position: 10
2472. Token: 'Ġhomemade', Entropy: 7.770996, Dataset: advbench, Text Index: 148, Position: 12
133. Token: 'Ġa', Entropy: 7.767046, Dataset: advbench, Text Index: 7, Position: 9
197. Token: 'Ġa', Entropy: 7.658367, Dataset: advbench, Text Index: 11, Position: 8
7812. Token: 'Ġa', Entropy: 7.646356, Dataset: advbench, Text Index: 461, Position: 12
2758. Token: 'Ġa', Entropy: 7.632961, Dataset: advbench, Text Index: 164, Position: 11
2525. Token: 'Ġhomemade', Entropy: 7.614739, Dataset: advbench, Text Index: 151, Position: 13
8231. Token: 'Ġof', Entropy: 7.564601, Dataset: advbench, Text Index: 487, Position: 11
2805. Token: 'Ġa', Entropy: 7.562265, Dataset: advbench, Text Index: 167, Position: 11
2667. Token: 'Ġthe', Entropy: 7.524407, Dataset: advbench, Text Index: 159, Position: 15
5299. Token: 'Ġa', Entropy: 7.522261, Dataset: advbench, Text Index: 313, Position: 14
1091. Token: 'Ġa', Entropy: 7.500419, Dataset: advbench, Text Index: 64, Position: 11
5646. Token: 'Ġa', Entropy: 7.456560, Dataset: advbench, Text Index: 334, Position: 11
2662. Token: 'Ġa', Entropy: 7.444234, Dataset: advbench, Text Index: 159, Position: 10
5867. Token: '-scale', Entropy: 7.414886, Dataset: advbench, Text Index: 347, Position: 10
5812. Token: 'Ġa', Entropy: 7.410604, Dataset: advbench, Text Index: 344, Position: 11
3937. Token: 'Ġa', Entropy: 7.403439, Dataset: advbench, Text Index: 233, Position: 9
7526. Token: 'Ġa', Entropy: 7.386217, Dataset: advbench, Text Index: 444, Position: 8
5865. Token: 'Ġa', Entropy: 7.386214, Dataset: advbench, Text Index: 347, Position: 8
6500. Token: 'Ġfake', Entropy: 7.380793, Dataset: advbench, Text Index: 385, Position: 10
6260. Token: 'Ġa', Entropy: 7.370583, Dataset: advbench, Text Index: 370, Position: 9
1196. Token: 'Ġa', Entropy: 7.370583, Dataset: advbench, Text Index: 70, Position: 9
8702. Token: 'Ġthe', Entropy: 7.342863, Dataset: advbench, Text Index: 514, Position: 10
5279. Token: 'Ġa', Entropy: 7.323253, Dataset: advbench, Text Index: 312, Position: 8
3576. Token: 'Ġa', Entropy: 7.323251, Dataset: advbench, Text Index: 213, Position: 8
4870. Token: 'Ġa', Entropy: 7.323251, Dataset: advbench, Text Index: 288, Position: 8
5106. Token: 'Ġa', Entropy: 7.323251, Dataset: advbench, Text Index: 302, Position: 8
4686. Token: 'Ġa', Entropy: 7.293598, Dataset: advbench, Text Index: 277, Position: 14
6179. Token: 'Ġconvincing', Entropy: 7.285341, Dataset: advbench, Text Index: 365, Position: 12
2083. Token: 'Ġa', Entropy: 7.282877, Dataset: advbench, Text Index: 125, Position: 9
6642. Token: 'Ġa', Entropy: 7.276511, Dataset: advbench, Text Index: 393, Position: 14
5220. Token: 'Ġsells', Entropy: 7.245338, Dataset: advbench, Text Index: 308, Position: 10
3938. Token: 'Ġcertain', Entropy: 7.237906, Dataset: advbench, Text Index: 233, Position: 10
1168. Token: 'Ġa', Entropy: 7.235339, Dataset: advbench, Text Index: 68, Position: 12
2963. Token: 'Ġa', Entropy: 7.232240, Dataset: advbench, Text Index: 176, Position: 12
3290. Token: 'Ġa', Entropy: 7.228005, Dataset: advbench, Text Index: 196, Position: 8
1212. Token: 'Ġa', Entropy: 7.221290, Dataset: advbench, Text Index: 71, Position: 8
4303. Token: 'Ġfake', Entropy: 7.219749, Dataset: advbench, Text Index: 255, Position: 6
2022. Token: 'Ġfake', Entropy: 7.219749, Dataset: advbench, Text Index: 121, Position: 6
5132. Token: 'Ġfake', Entropy: 7.219749, Dataset: advbench, Text Index: 303, Position: 6
6864. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 406, Position: 6
5947. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 352, Position: 6
6274. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 371, Position: 6
7576. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 447, Position: 6
6344. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 375, Position: 6
8084. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 479, Position: 6
3613. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 215, Position: 6
661. Token: 'Ġfake', Entropy: 7.219748, Dataset: advbench, Text Index: 39, Position: 6
439. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 26, Position: 6
1058. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 62, Position: 6
1228. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 72, Position: 6
7237. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 427, Position: 6
1462. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 87, Position: 6
4012. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 237, Position: 6
423. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 25, Position: 6
7007. Token: 'Ġfake', Entropy: 7.219747, Dataset: advbench, Text Index: 414, Position: 6
6293. Token: 'Ġfake', Entropy: 7.219746, Dataset: advbench, Text Index: 372, Position: 6
8050. Token: 'Ġfake', Entropy: 7.219746, Dataset: advbench, Text Index: 477, Position: 6
8284. Token: 'Ġfake', Entropy: 7.219746, Dataset: advbench, Text Index: 490, Position: 6
4745. Token: 'Ġfake', Entropy: 7.219746, Dataset: advbench, Text Index: 281, Position: 6
6673. Token: 'Ġfake', Entropy: 7.219746, Dataset: advbench, Text Index: 395, Position: 6
8340. Token: 'Ġfake', Entropy: 7.219746, Dataset: advbench, Text Index: 493, Position: 6
1594. Token: 'Ġa', Entropy: 7.203826, Dataset: advbench, Text Index: 95, Position: 11
2850. Token: 'Ġa', Entropy: 7.203825, Dataset: advbench, Text Index: 169, Position: 11
885. Token: 'Ġa', Entropy: 7.203389, Dataset: advbench, Text Index: 52, Position: 11
6178. Token: 'Ġa', Entropy: 7.199162, Dataset: advbench, Text Index: 365, Position: 11
6180. Token: 'Ġfake', Entropy: 7.187945, Dataset: advbench, Text Index: 365, Position: 13
2181. Token: 'Ġfake', Entropy: 7.185526, Dataset: advbench, Text Index: 131, Position: 11
2180. Token: 'Ġa', Entropy: 7.180083, Dataset: advbench, Text Index: 131, Position: 10
4635. Token: 'Ġa', Entropy: 7.170673, Dataset: advbench, Text Index: 274, Position: 14
5866. Token: 'Ġlarge', Entropy: 7.158661, Dataset: advbench, Text Index: 347, Position: 9
4530. Token: 'Ġa', Entropy: 7.155440, Dataset: advbench, Text Index: 268, Position: 11
6499. Token: 'Ġa', Entropy: 7.147802, Dataset: advbench, Text Index: 385, Position: 9
1483. Token: 'Ġof', Entropy: 7.146754, Dataset: advbench, Text Index: 88, Position: 11
8251. Token: 'Ġthe', Entropy: 7.144391, Dataset: advbench, Text Index: 488, Position: 15
7146. Token: 'Ġa', Entropy: 7.140218, Dataset: advbench, Text Index: 422, Position: 13
1729. Token: 'Ġa', Entropy: 7.120293, Dataset: advbench, Text Index: 103, Position: 10
7841. Token: 'Ġsells', Entropy: 7.112333, Dataset: advbench, Text Index: 463, Position: 8
1507. Token: 'Ġa', Entropy: 7.111374, Dataset: advbench, Text Index: 90, Position: 9
2873. Token: 'Ġthe', Entropy: 7.106162, Dataset: advbench, Text Index: 170, Position: 9
3772. Token: 'Ġthe', Entropy: 7.106161, Dataset: advbench, Text Index: 224, Position: 9
7202. Token: 'Ġthe', Entropy: 7.106161, Dataset: advbench, Text Index: 425, Position: 9
6458. Token: 'Ġa', Entropy: 7.101277, Dataset: advbench, Text Index: 382, Position: 14
2253. Token: 'Ġthe', Entropy: 7.099256, Dataset: advbench, Text Index: 135, Position: 8
865. Token: 'Ġthe', Entropy: 7.049244, Dataset: advbench, Text Index: 51, Position: 13
8498. Token: 'Ġa', Entropy: 7.035964, Dataset: advbench, Text Index: 502, Position: 13
505. Token: 'Ġhomemade', Entropy: 7.030926, Dataset: advbench, Text Index: 29, Position: 10
4122. Token: 'Ġa', Entropy: 7.006252, Dataset: advbench, Text Index: 243, Position: 12
4941. Token: 'Ġa', Entropy: 7.006252, Dataset: advbench, Text Index: 292, Position: 12
7255. Token: 'Ġa', Entropy: 7.005749, Dataset: advbench, Text Index: 428, Position: 8
761. Token: 'Ġa', Entropy: 7.005748, Dataset: advbench, Text Index: 45, Position: 8
7429. Token: 'Ġfake', Entropy: 6.983761, Dataset: advbench, Text Index: 438, Position: 13
7411. Token: 'Ġa', Entropy: 6.959116, Dataset: advbench, Text Index: 437, Position: 13
950. Token: 'Ġa', Entropy: 6.931847, Dataset: advbench, Text Index: 56, Position: 11
6488. Token: 'Ġa', Entropy: 6.931847, Dataset: advbench, Text Index: 384, Position: 11
4205. Token: 'Ġa', Entropy: 6.931847, Dataset: advbench, Text Index: 248, Position: 11
504. Token: 'Ġa', Entropy: 6.921080, Dataset: advbench, Text Index: 29, Position: 9
5030. Token: 'Ġa', Entropy: 6.921078, Dataset: advbench, Text Index: 297, Position: 9
3688. Token: 'Ġa', Entropy: 6.894200, Dataset: advbench, Text Index: 219, Position: 14
3015. Token: 'Ġhomemade', Entropy: 6.866259, Dataset: advbench, Text Index: 179, Position: 13
5031. Token: 'Ġpowerful', Entropy: 6.854310, Dataset: advbench, Text Index: 297, Position: 10
3774. Token: 'Ġof', Entropy: 6.846930, Dataset: advbench, Text Index: 224, Position: 11
2875. Token: 'Ġof', Entropy: 6.846929, Dataset: advbench, Text Index: 170, Position: 11
7204. Token: 'Ġof', Entropy: 6.846929, Dataset: advbench, Text Index: 425, Position: 11
1249. Token: 'Ġin', Entropy: 6.841241, Dataset: advbench, Text Index: 73, Position: 11
3092. Token: 'Ġa', Entropy: 6.838326, Dataset: advbench, Text Index: 184, Position: 10
3367. Token: 'Ġof', Entropy: 6.830332, Dataset: advbench, Text Index: 200, Position: 13
1235. Token: 'Ġa', Entropy: 6.822351, Dataset: advbench, Text Index: 72, Position: 13
6906. Token: 'Ġa', Entropy: 6.816672, Dataset: advbench, Text Index: 408, Position: 10
5333. Token: 'Ġa', Entropy: 6.811582, Dataset: advbench, Text Index: 315, Position: 10
7583. Token: 'Ġa', Entropy: 6.803514, Dataset: advbench, Text Index: 447, Position: 13
630. Token: 'Ġa', Entropy: 6.785708, Dataset: advbench, Text Index: 37, Position: 11
4753. Token: 'Ġa', Entropy: 6.784842, Dataset: advbench, Text Index: 281, Position: 14
8292. Token: 'Ġa', Entropy: 6.784842, Dataset: advbench, Text Index: 490, Position: 14
3936. Token: 'Ġthat', Entropy: 6.779361, Dataset: advbench, Text Index: 233, Position: 8
295. Token: 'Ġa', Entropy: 6.775425, Dataset: advbench, Text Index: 17, Position: 10
648. Token: 'Ġa', Entropy: 6.775425, Dataset: advbench, Text Index: 38, Position: 10
3312. Token: 'Ġa', Entropy: 6.775425, Dataset: advbench, Text Index: 197, Position: 10
3964. Token: 'Ġfake', Entropy: 6.762870, Dataset: advbench, Text Index: 234, Position: 11
3112. Token: 'Ġa', Entropy: 6.755162, Dataset: advbench, Text Index: 185, Position: 8
7869. Token: 'Ġa', Entropy: 6.755161, Dataset: advbench, Text Index: 465, Position: 8
3733. Token: 'Ġa', Entropy: 6.733988, Dataset: advbench, Text Index: 222, Position: 10
2241. Token: 'Ġfake', Entropy: 6.725499, Dataset: advbench, Text Index: 134, Position: 13
4702. Token: 'Ġlocal', Entropy: 6.708622, Dataset: advbench, Text Index: 278, Position: 11
8519. Token: 'Ġthe', Entropy: 6.707487, Dataset: advbench, Text Index: 503, Position: 18
3444. Token: 'Ġa', Entropy: 6.689811, Dataset: advbench, Text Index: 205, Position: 9
5234. Token: 'Ġa', Entropy: 6.685037, Dataset: advbench, Text Index: 309, Position: 11
717. Token: 'Ġa', Entropy: 6.679971, Dataset: advbench, Text Index: 42, Position: 10
2240. Token: 'Ġof', Entropy: 6.672727, Dataset: advbench, Text Index: 134, Position: 12
3516. Token: 'Ġa', Entropy: 6.672339, Dataset: advbench, Text Index: 209, Position: 11
6988. Token: 'Ġthat', Entropy: 6.666579, Dataset: advbench, Text Index: 413, Position: 9
4511. Token: 'Ġa', Entropy: 6.665218, Dataset: advbench, Text Index: 267, Position: 13
3755. Token: 'Ġa', Entropy: 6.665218, Dataset: advbench, Text Index: 223, Position: 13
5789. Token: 'Ġpromotes', Entropy: 6.646522, Dataset: advbench, Text Index: 343, Position: 8
4859. Token: 'Ġpromotes', Entropy: 6.646520, Dataset: advbench, Text Index: 287, Position: 8
115. Token: 'Ġpromotes', Entropy: 6.646519, Dataset: advbench, Text Index: 6, Position: 8
6088. Token: 'Ġpromotes', Entropy: 6.646518, Dataset: advbench, Text Index: 360, Position: 8
5218. Token: 'Ġpromotes', Entropy: 6.646517, Dataset: advbench, Text Index: 308, Position: 8
7224. Token: 'Ġa', Entropy: 6.646466, Dataset: advbench, Text Index: 426, Position: 10
8141. Token: 'Ġa', Entropy: 6.646464, Dataset: advbench, Text Index: 482, Position: 10
2069. Token: 'Ġa', Entropy: 6.645052, Dataset: advbench, Text Index: 124, Position: 10
3905. Token: 'Ġin', Entropy: 6.639049, Dataset: advbench, Text Index: 231, Position: 12
3638. Token: 'Ġa', Entropy: 6.635849, Dataset: advbench, Text Index: 216, Position: 10
3293. Token: 'Ġa', Entropy: 6.633604, Dataset: advbench, Text Index: 196, Position: 11
1065. Token: 'Ġa', Entropy: 6.631824, Dataset: advbench, Text Index: 62, Position: 13
6674. Token: 'Ġonline', Entropy: 6.615272, Dataset: advbench, Text Index: 395, Position: 7
8051. Token: 'Ġonline', Entropy: 6.615272, Dataset: advbench, Text Index: 477, Position: 7
1463. Token: 'Ġonline', Entropy: 6.615272, Dataset: advbench, Text Index: 87, Position: 7
5112. Token: 'Ġthe', Entropy: 6.590573, Dataset: advbench, Text Index: 302, Position: 14
2213. Token: 'Ġa', Entropy: 6.576043, Dataset: advbench, Text Index: 133, Position: 8
6697. Token: 'Ġa', Entropy: 6.575974, Dataset: advbench, Text Index: 396, Position: 13
1219. Token: 'Ġa', Entropy: 6.571321, Dataset: advbench, Text Index: 71, Position: 15
7601. Token: 'Ġand', Entropy: 6.556686, Dataset: advbench, Text Index: 448, Position: 11
8720. Token: 'Ġthe', Entropy: 6.554848, Dataset: advbench, Text Index: 515, Position: 10
2487. Token: 'Ġthe', Entropy: 6.549084, Dataset: advbench, Text Index: 149, Position: 9
7562. Token: 'Ġpromotes', Entropy: 6.548699, Dataset: advbench, Text Index: 446, Position: 8
4355. Token: 'Ġa', Entropy: 6.534199, Dataset: advbench, Text Index: 258, Position: 11
1433. Token: 'Ġa', Entropy: 6.529516, Dataset: advbench, Text Index: 85, Position: 13
2388. Token: 'Ġa', Entropy: 6.527960, Dataset: advbench, Text Index: 143, Position: 10
7653. Token: 'Ġa', Entropy: 6.526845, Dataset: advbench, Text Index: 451, Position: 10
4908. Token: 'Ġa', Entropy: 6.525483, Dataset: advbench, Text Index: 290, Position: 11
1858. Token: 'Ġa', Entropy: 6.525483, Dataset: advbench, Text Index: 111, Position: 11
4317. Token: 'Ġa', Entropy: 6.505086, Dataset: advbench, Text Index: 256, Position: 8
6437. Token: 'Ġa', Entropy: 6.504071, Dataset: advbench, Text Index: 381, Position: 10
28. Token: 'Ġa', Entropy: 6.504071, Dataset: advbench, Text Index: 1, Position: 10
410. Token: 'Ġpromotes', Entropy: 6.478863, Dataset: advbench, Text Index: 24, Position: 9
3889. Token: 'Ġpromotes', Entropy: 6.478862, Dataset: advbench, Text Index: 230, Position: 9
798. Token: 'Ġa', Entropy: 6.475530, Dataset: advbench, Text Index: 47, Position: 11
3256. Token: 'Ġa', Entropy: 6.475530, Dataset: advbench, Text Index: 194, Position: 11
8229. Token: 'Ġthe', Entropy: 6.475293, Dataset: advbench, Text Index: 487, Position: 9
363. Token: 'Ġa', Entropy: 6.474835, Dataset: advbench, Text Index: 21, Position: 13
1103. Token: 'Ġthe', Entropy: 6.472900, Dataset: advbench, Text Index: 64, Position: 23
7356. Token: 'Ġa', Entropy: 6.472433, Dataset: advbench, Text Index: 434, Position: 12
7394. Token: 'Ġa', Entropy: 6.472433, Dataset: advbench, Text Index: 436, Position: 12
5559. Token: 'Ġa', Entropy: 6.472433, Dataset: advbench, Text Index: 328, Position: 12
6143. Token: 'Ġa', Entropy: 6.472433, Dataset: advbench, Text Index: 363, Position: 12
4079. Token: 'Ġa', Entropy: 6.472433, Dataset: advbench, Text Index: 240, Position: 12
7797. Token: 'Ġa', Entropy: 6.472433, Dataset: advbench, Text Index: 460, Position: 12
6817. Token: 'Ġa', Entropy: 6.472433, Dataset: advbench, Text Index: 403, Position: 12
5542. Token: 'Ġa', Entropy: 6.472432, Dataset: advbench, Text Index: 327, Position: 12
8396. Token: 'Ġa', Entropy: 6.472432, Dataset: advbench, Text Index: 496, Position: 12
3563. Token: 'Ġvulnerable', Entropy: 6.470477, Dataset: advbench, Text Index: 212, Position: 11
7375. Token: 'Ġand', Entropy: 6.464618, Dataset: advbench, Text Index: 435, Position: 15
7410. Token: 'Ġabout', Entropy: 6.464268, Dataset: advbench, Text Index: 437, Position: 12
5440. Token: 'Ġcertain', Entropy: 6.450015, Dataset: advbench, Text Index: 321, Position: 9
5393. Token: 'Ġa', Entropy: 6.432734, Dataset: advbench, Text Index: 318, Position: 11
7895. Token: 'Ġa', Entropy: 6.420644, Dataset: advbench, Text Index: 466, Position: 9
6262. Token: ''s', Entropy: 6.418321, Dataset: advbench, Text Index: 370, Position: 11
4545. Token: 'Ġfor', Entropy: 6.413707, Dataset: advbench, Text Index: 269, Position: 6
8322. Token: 'Ġfor', Entropy: 6.413706, Dataset: advbench, Text Index: 492, Position: 6
8690. Token: 'Ġfor', Entropy: 6.409279, Dataset: advbench, Text Index: 513, Position: 13
860. Token: 'Ġa', Entropy: 6.407713, Dataset: advbench, Text Index: 51, Position: 8
4614. Token: 'Ġsells', Entropy: 6.406419, Dataset: advbench, Text Index: 273, Position: 11
2194. Token: 'Ġpromotes', Entropy: 6.397278, Dataset: advbench, Text Index: 132, Position: 11
2613. Token: 'Ġto', Entropy: 6.390958, Dataset: advbench, Text Index: 156, Position: 10
846. Token: 'Ġand', Entropy: 6.389311, Dataset: advbench, Text Index: 50, Position: 11
7043. Token: 'Ġavoid', Entropy: 6.383636, Dataset: advbench, Text Index: 416, Position: 10
1839. Token: 'Ġa', Entropy: 6.373022, Dataset: advbench, Text Index: 110, Position: 9
1611. Token: 'Ġa', Entropy: 6.370704, Dataset: advbench, Text Index: 96, Position: 8
7908. Token: 'Ġa', Entropy: 6.365203, Dataset: advbench, Text Index: 467, Position: 9
6313. Token: 'Ġa', Entropy: 6.365203, Dataset: advbench, Text Index: 373, Position: 9
5920. Token: 'Ġa', Entropy: 6.347391, Dataset: advbench, Text Index: 350, Position: 12
6926. Token: 'Ġa', Entropy: 6.347391, Dataset: advbench, Text Index: 409, Position: 12
7448. Token: 'Ġa', Entropy: 6.347390, Dataset: advbench, Text Index: 439, Position: 12
3294. Token: 'Ġpopular', Entropy: 6.338593, Dataset: advbench, Text Index: 196, Position: 12
6044. Token: 'Ġa', Entropy: 6.335449, Dataset: advbench, Text Index: 357, Position: 13
5905. Token: 'Ġa', Entropy: 6.334855, Dataset: advbench, Text Index: 349, Position: 12
7181. Token: 'Ġa', Entropy: 6.333449, Dataset: advbench, Text Index: 424, Position: 9
829. Token: 'Ġpromotes', Entropy: 6.332909, Dataset: advbench, Text Index: 49, Position: 10
4548. Token: 'Ġusing', Entropy: 6.329317, Dataset: advbench, Text Index: 269, Position: 9
5424. Token: 'Ġa', Entropy: 6.324480, Dataset: advbench, Text Index: 320, Position: 11
4170. Token: 'Ġa', Entropy: 6.323217, Dataset: advbench, Text Index: 246, Position: 12
7291. Token: 'Ġpromotes', Entropy: 6.320571, Dataset: advbench, Text Index: 430, Position: 8
1295. Token: 'Ġdistribute', Entropy: 6.307913, Dataset: advbench, Text Index: 76, Position: 9
3348. Token: 'Ġand', Entropy: 6.290523, Dataset: advbench, Text Index: 199, Position: 11
5014. Token: 'Ġin', Entropy: 6.289691, Dataset: advbench, Text Index: 296, Position: 11
918. Token: 'Ġa', Entropy: 6.281869, Dataset: advbench, Text Index: 54, Position: 11
5438. Token: 'Ġon', Entropy: 6.269821, Dataset: advbench, Text Index: 321, Position: 7
5379. Token: 'Ġfake', Entropy: 6.260699, Dataset: advbench, Text Index: 317, Position: 13
6556. Token: 'Ġpromote', Entropy: 6.250799, Dataset: advbench, Text Index: 388, Position: 9
7412. Token: 'Ġparticular', Entropy: 6.246772, Dataset: advbench, Text Index: 437, Position: 14
2252. Token: 'Ġpromoting', Entropy: 6.231013, Dataset: advbench, Text Index: 135, Position: 7
5790. Token: 'Ġan', Entropy: 6.230453, Dataset: advbench, Text Index: 343, Position: 9
2191. Token: 'Ġa', Entropy: 6.206240, Dataset: advbench, Text Index: 132, Position: 8
8271. Token: 'Ġa', Entropy: 6.194570, Dataset: advbench, Text Index: 489, Position: 11
6941. Token: 'Ġits', Entropy: 6.193173, Dataset: advbench, Text Index: 410, Position: 12
278. Token: 'Ġa', Entropy: 6.192983, Dataset: advbench, Text Index: 16, Position: 12
3460. Token: 'Ġa', Entropy: 6.185854, Dataset: advbench, Text Index: 206, Position: 11
1684. Token: 'Ġin', Entropy: 6.183801, Dataset: advbench, Text Index: 100, Position: 8
2255. Token: 'Ġor', Entropy: 6.180707, Dataset: advbench, Text Index: 135, Position: 10
2903. Token: 'Ġa', Entropy: 6.172449, Dataset: advbench, Text Index: 172, Position: 11
8687. Token: 'Ġtargets', Entropy: 6.168084, Dataset: advbench, Text Index: 513, Position: 10
1748. Token: 'Ġavoid', Entropy: 6.161957, Dataset: advbench, Text Index: 104, Position: 9
2220. Token: 'Ġa', Entropy: 6.159764, Dataset: advbench, Text Index: 133, Position: 15
768. Token: 'Ġand', Entropy: 6.158281, Dataset: advbench, Text Index: 45, Position: 15
3670. Token: 'Ġand', Entropy: 6.149460, Dataset: advbench, Text Index: 218, Position: 12
412. Token: 'Ġrewards', Entropy: 6.149037, Dataset: advbench, Text Index: 24, Position: 11
7779. Token: 'Ġyour', Entropy: 6.148387, Dataset: advbench, Text Index: 459, Position: 10
5352. Token: 'Ġis', Entropy: 6.132863, Dataset: advbench, Text Index: 316, Position: 10
7997. Token: 'Ġand', Entropy: 6.131816, Dataset: advbench, Text Index: 473, Position: 12
8564. Token: 'ading', Entropy: 6.123971, Dataset: advbench, Text Index: 506, Position: 9
3238. Token: 'Ġand', Entropy: 6.123433, Dataset: advbench, Text Index: 193, Position: 11
8324. Token: 'ading', Entropy: 6.121315, Dataset: advbench, Text Index: 492, Position: 8
2510. Token: 'Ġand', Entropy: 6.120909, Dataset: advbench, Text Index: 150, Position: 17
5047. Token: 'Ġa', Entropy: 6.115407, Dataset: advbench, Text Index: 298, Position: 12
4424. Token: 'Ġand', Entropy: 6.111922, Dataset: advbench, Text Index: 262, Position: 10
13. Token: 'Ġa', Entropy: 6.111048, Dataset: advbench, Text Index: 0, Position: 12
7294. Token: 'Ġand', Entropy: 6.108142, Dataset: advbench, Text Index: 430, Position: 11
5709. Token: 'Ġand', Entropy: 6.102898, Dataset: advbench, Text Index: 338, Position: 9
8686. Token: 'Ġand', Entropy: 6.102898, Dataset: advbench, Text Index: 513, Position: 9
6264. Token: 'Ġand', Entropy: 6.099121, Dataset: advbench, Text Index: 370, Position: 13
1119. Token: 'Ġand', Entropy: 6.098577, Dataset: advbench, Text Index: 65, Position: 12
2830. Token: 'Ġa', Entropy: 6.096030, Dataset: advbench, Text Index: 168, Position: 11
8654. Token: 'Ġand', Entropy: 6.090414, Dataset: advbench, Text Index: 511, Position: 12
6798. Token: 'Ġand', Entropy: 6.086510, Dataset: advbench, Text Index: 402, Position: 12
3043. Token: 'Ġa', Entropy: 6.080131, Dataset: advbench, Text Index: 181, Position: 11
5618. Token: 'Ġa', Entropy: 6.079442, Dataset: advbench, Text Index: 332, Position: 12
6423. Token: 'Ġand', Entropy: 6.079173, Dataset: advbench, Text Index: 380, Position: 11
1116. Token: 'Ġpromotes', Entropy: 6.074286, Dataset: advbench, Text Index: 65, Position: 9
5712. Token: 'Ġin', Entropy: 6.070218, Dataset: advbench, Text Index: 338, Position: 12
7598. Token: 'Ġpromotes', Entropy: 6.069533, Dataset: advbench, Text Index: 448, Position: 8
7744. Token: 'Ġpromotes', Entropy: 6.069533, Dataset: advbench, Text Index: 457, Position: 8
8228. Token: 'Ġpromotes', Entropy: 6.069533, Dataset: advbench, Text Index: 487, Position: 8
