Top 20% Unique Tokens by Avg Entropy:

775. Token: 'Ġsuccessful', Avg Entropy: 8.010241, Count: 1
528. Token: 'Ġmalware', Avg Entropy: 4.152133, Count: 14
366. Token: 'Ġescape', Avg Entropy: 4.150472, Count: 2
714. Token: 'Ġsecured', Avg Entropy: 4.149218, Count: 1
2. Token: ''s', Avg Entropy: 4.144223, Count: 42
344. Token: 'Ġeconomic', Avg Entropy: 4.143611, Count: 1
218. Token: 'Ġcollege', Avg Entropy: 4.137200, Count: 1
392. Token: 'Ġfeel', Avg Entropy: 4.136246, Count: 1
131. Token: 'Ġanonymously', Avg Entropy: 4.128981, Count: 5
297. Token: 'Ġdesign', Avg Entropy: 4.128371, Count: 1
298. Token: 'Ġdestroy', Avg Entropy: 4.122606, Count: 1
740. Token: 'Ġsoftware', Avg Entropy: 4.115415, Count: 9
169. Token: 'Ġbot', Avg Entropy: 4.113844, Count: 8
257. Token: 'Ġcrack', Avg Entropy: 4.110482, Count: 2
761. Token: 'Ġstart', Avg Entropy: 4.109312, Count: 1
351. Token: 'Ġemployer', Avg Entropy: 4.082953, Count: 1
523. Token: 'Ġmail', Avg Entropy: 4.076444, Count: 1
203. Token: 'Ġchemical', Avg Entropy: 4.076103, Count: 2
