Top 20% High Entropy Tokens (sorted by entropy):

851. Token: 'Ġsuccessful', Entropy: 8.137491, Dataset: advbench, Text Index: 61, Position: 9
6582. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 477, Position: 2
3863. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 280, Position: 2
3182. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 230, Position: 2
4548. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 329, Position: 2
326. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 24, Position: 2
1001. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 72, Position: 2
5289. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 384, Position: 2
2242. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 163, Position: 2
339. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 25, Position: 2
3168. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 229, Position: 2
5445. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 395, Position: 2
2686. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 195, Position: 2
6000. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 434, Position: 2
3278. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 236, Position: 2
172. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 12, Position: 2
1681. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 123, Position: 2
5275. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 383, Position: 2
2916. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 212, Position: 2
2138. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 156, Position: 2
6352. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 459, Position: 2
4933. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 358, Position: 2
4846. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 352, Position: 2
1863. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 136, Position: 2
2366. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 171, Position: 2
5737. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 415, Position: 2
297. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 22, Position: 2
2565. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 186, Position: 2
1397. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 102, Position: 2
1557. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 114, Position: 2
5674. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 411, Position: 2
4619. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 335, Position: 2
6571. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 476, Position: 2
3002. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 218, Position: 2
1194. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 87, Position: 2
352. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 26, Position: 2
5384. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 391, Position: 2
4404. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 318, Position: 2
3876. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 281, Position: 2
6499. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 470, Position: 2
2946. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 214, Position: 2
6511. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 471, Position: 2
844. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 61, Position: 2
4032. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 292, Position: 2
6232. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 450, Position: 2
4860. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 353, Position: 2
658. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 48, Position: 2
5177. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 375, Position: 2
6665. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 483, Position: 2
7045. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 510, Position: 2
2757. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 200, Position: 2
4196. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 303, Position: 2
3700. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 268, Position: 2
3757. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 272, Position: 2
5299. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 385, Position: 2
3288. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 237, Position: 2
3519. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 255, Position: 2
193. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 14, Position: 2
1639. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 120, Position: 2
5394. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 392, Position: 2
1041. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 75, Position: 2
2605. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 189, Position: 2
384. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 28, Position: 2
3100. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 225, Position: 2
3128. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 227, Position: 2
6757. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 489, Position: 2
4695. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 341, Position: 2
5722. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 414, Position: 2
4457. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 322, Position: 2
3192. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 231, Position: 2
1656. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 121, Position: 2
6832. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 494, Position: 2
4594. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 333, Position: 2
2316. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 168, Position: 2
5558. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 403, Position: 2
7164. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 518, Position: 2
3557. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 258, Position: 2
1357. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 99, Position: 2
5515. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 400, Position: 2
5602. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 406, Position: 2
6610. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 479, Position: 2
533. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 39, Position: 2
7119. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 515, Position: 2
68. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 5, Position: 2
2962. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 215, Position: 2
5114. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 371, Position: 2
5131. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 372, Position: 2
3369. Token: 'Ġa', Entropy: 7.603320, Dataset: advbench, Text Index: 243, Position: 2
5052. Token: 'Ġa', Entropy: 7.538246, Dataset: advbench, Text Index: 366, Position: 7
5197. Token: 'Ġa', Entropy: 7.497809, Dataset: advbench, Text Index: 376, Position: 7
1085. Token: 'Ġa', Entropy: 7.497507, Dataset: advbench, Text Index: 78, Position: 8
47. Token: 'Ġa', Entropy: 7.457551, Dataset: advbench, Text Index: 3, Position: 8
4499. Token: 'Ġa', Entropy: 7.453686, Dataset: advbench, Text Index: 325, Position: 6
4612. Token: 'Ġa', Entropy: 7.446292, Dataset: advbench, Text Index: 334, Position: 8
989. Token: 'Ġa', Entropy: 7.394957, Dataset: advbench, Text Index: 71, Position: 8
5666. Token: 'Ġa', Entropy: 7.389795, Dataset: advbench, Text Index: 410, Position: 6
5421. Token: 'Ġa', Entropy: 7.349527, Dataset: advbench, Text Index: 393, Position: 11
2068. Token: 'Ġa', Entropy: 7.334913, Dataset: advbench, Text Index: 151, Position: 9
1014. Token: 'Ġa', Entropy: 7.327493, Dataset: advbench, Text Index: 73, Position: 2
2339. Token: 'Ġa', Entropy: 7.315467, Dataset: advbench, Text Index: 169, Position: 8
1301. Token: 'Ġa', Entropy: 7.315466, Dataset: advbench, Text Index: 95, Position: 8
3980. Token: 'Ġa', Entropy: 7.314746, Dataset: advbench, Text Index: 288, Position: 5
2932. Token: 'Ġa', Entropy: 7.314746, Dataset: advbench, Text Index: 213, Position: 5
4174. Token: 'Ġa', Entropy: 7.314743, Dataset: advbench, Text Index: 302, Position: 5
4319. Token: 'Ġa', Entropy: 7.314743, Dataset: advbench, Text Index: 312, Position: 5
409. Token: 'Ġa', Entropy: 7.313663, Dataset: advbench, Text Index: 29, Position: 6
5035. Token: 'Ġa', Entropy: 7.278033, Dataset: advbench, Text Index: 365, Position: 6
6634. Token: 'Ġa', Entropy: 7.274669, Dataset: advbench, Text Index: 480, Position: 9
6385. Token: 'Ġa', Entropy: 7.267067, Dataset: advbench, Text Index: 461, Position: 9
2700. Token: 'Ġa', Entropy: 7.255231, Dataset: advbench, Text Index: 196, Position: 3
3225. Token: 'Ġa', Entropy: 7.237447, Dataset: advbench, Text Index: 233, Position: 6
5603. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 406, Position: 3
5178. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 375, Position: 3
534. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 39, Position: 3
5132. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 372, Position: 3
4197. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 303, Position: 3
3289. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 237, Position: 3
3520. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 255, Position: 3
5723. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 414, Position: 3
1657. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 121, Position: 3
2963. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 215, Position: 3
5115. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 371, Position: 3
6611. Token: 'Ġfake', Entropy: 7.219218, Dataset: advbench, Text Index: 479, Position: 3
1195. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 87, Position: 3
1002. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 72, Position: 3
3913. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 283, Position: 3
4847. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 352, Position: 3
340. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 25, Position: 3
353. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 26, Position: 3
6583. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 477, Position: 3
5446. Token: 'Ġfake', Entropy: 7.219217, Dataset: advbench, Text Index: 395, Position: 3
3352. Token: 'Ġa', Entropy: 7.198819, Dataset: advbench, Text Index: 241, Position: 7
2039. Token: 'Ġof', Entropy: 7.194375, Dataset: advbench, Text Index: 149, Position: 8
1451. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 106, Position: 2
4049. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 293, Position: 2
3261. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 235, Position: 2
1756. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 129, Position: 2
2714. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 197, Position: 2
1737. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 128, Position: 2
3053. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 222, Position: 2
2045. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 150, Position: 2
6736. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 488, Position: 2
5687. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 412, Position: 2
3682. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 267, Position: 2
1612. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 118, Position: 2
4903. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 356, Position: 2
3574. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 259, Position: 2
6390. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 462, Position: 2
588. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 43, Position: 2
6405. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 463, Position: 2
2653. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 193, Position: 2
1064. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 77, Position: 2
7179. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 519, Position: 2
4918. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 357, Position: 2
4429. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 320, Position: 2
4118. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 298, Position: 2
1480. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 108, Position: 2
3837. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 278, Position: 2
7104. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 514, Position: 2
6559. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 475, Position: 2
2901. Token: 'Ġa', Entropy: 7.189888, Dataset: advbench, Text Index: 211, Position: 2
934. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 67, Position: 2
1467. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 107, Position: 2
4647. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 337, Position: 2
2391. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 173, Position: 2
2401. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 174, Position: 2
3589. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 260, Position: 2
17. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 1, Position: 2
3448. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 249, Position: 2
1954. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 143, Position: 2
5490. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 398, Position: 2
4707. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 342, Position: 2
5805. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 420, Position: 2
3743. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 271, Position: 2
1832. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 134, Position: 2
680. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 50, Position: 2
5100. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 370, Position: 2
5225. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 379, Position: 2
4872. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 354, Position: 2
112. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 8, Position: 2
2730. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 198, Position: 2
4469. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 323, Position: 2
2743. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 199, Position: 2
1245. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 91, Position: 2
5089. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 369, Position: 2
4988. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 362, Position: 2
6535. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 473, Position: 2
2807. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 204, Position: 2
4583. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 332, Position: 2
4018. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 291, Position: 2
254. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 19, Position: 2
7151. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 517, Position: 2
4795. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 348, Position: 2
969. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 70, Position: 2
3615. Token: 'Ġa', Entropy: 7.189886, Dataset: advbench, Text Index: 262, Position: 2
6741. Token: 'Ġa', Entropy: 7.185298, Dataset: advbench, Text Index: 488, Position: 7
3842. Token: 'Ġa', Entropy: 7.185298, Dataset: advbench, Text Index: 278, Position: 7
6942. Token: 'Ġa', Entropy: 7.184537, Dataset: advbench, Text Index: 502, Position: 10
4112. Token: 'Ġpowerful', Entropy: 7.154178, Dataset: advbench, Text Index: 297, Position: 6
2262. Token: 'Ġa', Entropy: 7.153487, Dataset: advbench, Text Index: 164, Position: 8
6359. Token: 'Ġa', Entropy: 7.151057, Dataset: advbench, Text Index: 459, Position: 9
813. Token: 'Ġa', Entropy: 7.146356, Dataset: advbench, Text Index: 59, Position: 6
6655. Token: 'Ġa', Entropy: 7.143678, Dataset: advbench, Text Index: 482, Position: 3
5900. Token: 'Ġa', Entropy: 7.143678, Dataset: advbench, Text Index: 426, Position: 3
6188. Token: 'Ġfake', Entropy: 7.142976, Dataset: advbench, Text Index: 447, Position: 3
869. Token: 'Ġfake', Entropy: 7.142976, Dataset: advbench, Text Index: 62, Position: 3
6729. Token: 'Ġof', Entropy: 7.135140, Dataset: advbench, Text Index: 487, Position: 8
410. Token: 'Ġhomemade', Entropy: 7.085517, Dataset: advbench, Text Index: 29, Position: 7
1849. Token: 'Ġthe', Entropy: 7.083688, Dataset: advbench, Text Index: 135, Position: 5
699. Token: 'Ġa', Entropy: 7.083084, Dataset: advbench, Text Index: 51, Position: 7
2069. Token: 'Ġhomemade', Entropy: 7.035096, Dataset: advbench, Text Index: 151, Position: 10
850. Token: 'Ġa', Entropy: 7.027135, Dataset: advbench, Text Index: 61, Position: 8
1839. Token: 'Ġof', Entropy: 7.026764, Dataset: advbench, Text Index: 134, Position: 9
3650. Token: 'duce', Entropy: 7.016328, Dataset: advbench, Text Index: 265, Position: 2
5060. Token: 'duce', Entropy: 7.016326, Dataset: advbench, Text Index: 367, Position: 2
6285. Token: 'duce', Entropy: 7.016326, Dataset: advbench, Text Index: 454, Position: 2
908. Token: 'duce', Entropy: 7.016326, Dataset: advbench, Text Index: 65, Position: 2
283. Token: 'duce', Entropy: 7.016326, Dataset: advbench, Text Index: 21, Position: 2
1668. Token: 'duce', Entropy: 7.016326, Dataset: advbench, Text Index: 122, Position: 2
2361. Token: 'Ġof', Entropy: 7.003118, Dataset: advbench, Text Index: 170, Position: 8
3093. Token: 'Ġof', Entropy: 7.003118, Dataset: advbench, Text Index: 224, Position: 8
5887. Token: 'Ġof', Entropy: 7.003117, Dataset: advbench, Text Index: 425, Position: 8
4376. Token: 'Ġa', Entropy: 6.996022, Dataset: advbench, Text Index: 316, Position: 5
5238. Token: 'Ġa', Entropy: 6.991722, Dataset: advbench, Text Index: 380, Position: 2
6906. Token: 'Ġa', Entropy: 6.991722, Dataset: advbench, Text Index: 500, Position: 2
6204. Token: 'Ġa', Entropy: 6.991722, Dataset: advbench, Text Index: 448, Position: 2
3792. Token: 'Ġa', Entropy: 6.976407, Dataset: advbench, Text Index: 274, Position: 10
6477. Token: 'Ġa', Entropy: 6.969099, Dataset: advbench, Text Index: 468, Position: 2
5412. Token: 'Ġa', Entropy: 6.969099, Dataset: advbench, Text Index: 393, Position: 2
6548. Token: 'Ġa', Entropy: 6.969099, Dataset: advbench, Text Index: 474, Position: 2
6772. Token: 'Ġa', Entropy: 6.969099, Dataset: advbench, Text Index: 490, Position: 2
6892. Token: 'Ġa', Entropy: 6.969099, Dataset: advbench, Text Index: 499, Position: 2
432. Token: 'Ġa', Entropy: 6.969099, Dataset: advbench, Text Index: 31, Position: 2
5215. Token: 'Ġa', Entropy: 6.969099, Dataset: advbench, Text Index: 378, Position: 2
1117. Token: 'Ġa', Entropy: 6.969098, Dataset: advbench, Text Index: 81, Position: 2
4739. Token: 'Ġa', Entropy: 6.963748, Dataset: advbench, Text Index: 344, Position: 3
415. Token: 'Ġa', Entropy: 6.963310, Dataset: advbench, Text Index: 30, Position: 2
766. Token: 'Ġa', Entropy: 6.963310, Dataset: advbench, Text Index: 56, Position: 2
793. Token: 'Ġa', Entropy: 6.963310, Dataset: advbench, Text Index: 58, Position: 2
4227. Token: 'Ġa', Entropy: 6.963310, Dataset: advbench, Text Index: 305, Position: 2
6692. Token: 'Ġa', Entropy: 6.963310, Dataset: advbench, Text Index: 485, Position: 2
4536. Token: 'Ġa', Entropy: 6.963309, Dataset: advbench, Text Index: 328, Position: 2
1102. Token: 'Ġa', Entropy: 6.963309, Dataset: advbench, Text Index: 80, Position: 2
6159. Token: 'Ġa', Entropy: 6.963309, Dataset: advbench, Text Index: 445, Position: 2
