Top 100 High Entropy Diff Tokens and their Frequencies + Mean Diff:
1. Token: '<|begin_of_text|>', Frequency: 520, Mean Entropy Diff: 5.8251
71. Token: 'Ġdetection', Frequency: 3, Mean Entropy Diff: 0.2138
72. Token: 'Ġindividual', Frequency: 3, Mean Entropy Diff: 0.2658
73. Token: 'Ġnetwork', Frequency: 3, Mean Entropy Diff: 0.2572
74. Token: 'Ġmoney', Frequency: 3, Mean Entropy Diff: 0.2452
75. Token: 'Ġproduct', Frequency: 3, Mean Entropy Diff: 0.2773
76. Token: 'Ġfraud', Frequency: 3, Mean Entropy Diff: 0.2193
77. Token: 'Ġransom', Frequency: 3, Mean Entropy Diff: 0.2351
78. Token: 'Ġsystems', Frequency: 3, Mean Entropy Diff: 0.1405
79. Token: 'Ġchild', Frequency: 2, Mean Entropy Diff: 1.4978
80. Token: 'Ġenables', Frequency: 2, Mean Entropy Diff: 1.9029
81. Token: 'Ġan', Frequency: 2, Mean Entropy Diff: 1.1561
82. Token: 'Ġobtain', Frequency: 2, Mean Entropy Diff: 0.6607
83. Token: 'Ġencouraging', Frequency: 2, Mean Entropy Diff: 0.6781
84. Token: 'Ġits', Frequency: 2, Mean Entropy Diff: 0.6573
85. Token: 'Ġcan', Frequency: 2, Mean Entropy Diff: 0.6002
86. Token: 'Ġother', Frequency: 2, Mean Entropy Diff: 0.5698
87. Token: 'Ġthrough', Frequency: 2, Mean Entropy Diff: 0.4460
88. Token: 'Ġdisorders', Frequency: 2, Mean Entropy Diff: 0.5274
89. Token: 'Ġdisables', Frequency: 2, Mean Entropy Diff: 0.6590
90. Token: 'Ġaccount', Frequency: 2, Mean Entropy Diff: 0.3974
91. Token: 'Ġhigh', Frequency: 2, Mean Entropy Diff: 0.3853
92. Token: 'Ġshowing', Frequency: 2, Mean Entropy Diff: 0.4305
93. Token: 'Ġcause', Frequency: 2, Mean Entropy Diff: 0.5607
94. Token: 'Ġreputation', Frequency: 2, Mean Entropy Diff: 0.3931
95. Token: 'Ġtargets', Frequency: 2, Mean Entropy Diff: 0.4106
96. Token: 'Ġrelease', Frequency: 2, Mean Entropy Diff: 0.3502
97. Token: 'Ġget', Frequency: 2, Mean Entropy Diff: 0.3400
98. Token: 'Ġexplosives', Frequency: 2, Mean Entropy Diff: 0.2852
99. Token: 'Ġtracks', Frequency: 2, Mean Entropy Diff: 0.2764
100. Token: 'ading', Frequency: 2, Mean Entropy Diff: 0.3392
